排名,昵称,分数,段位,段位徽章,累计答对,累计答错,继承分
1,蜜糖,69,精英,💎,4,0,30
2,小贝克,47,进阶,🔷,10,0,20
3,小陈,21,熟练,🟢,1,0,12
4,芒U,12,新手,🟠,0,0,6
5,小吖吖,8,入门,◼️,2,0,0
6,小金牛,7,入门,◼️,1,0,3
7,私猴,6,入门,◼️,0,0,3
8,开心牛,6,入门,◼️,0,0,3
9,小绿,5,入门,◼️,1,0,0
10,覃氪,3,见习,◻️,0,0,0
11,小河,3,见习,◻️,0,0,0
